loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
0.3206049954095855,0.8595256805419922,0.8595256805419922,0.8595256805419922,0.8341720794829038,0.713942289352417,0.713942289352417,0.713942289352417
0.17568109344311422,0.9338024258613586,0.9338024258613586,0.9338024258613586,0.6944134178069922,0.6850961446762085,0.6850961446762085,0.6850961446762085
0.13920598037313725,0.9528277516365051,0.9528277516365051,0.9528277516365051,0.7810668796300888,0.6947115659713745,0.6947115659713745,0.6947115659713745
0.11720182261011518,0.9603857398033142,0.9603857398033142,0.9603857398033142,0.9445526353441752,0.7283653616905212,0.7283653616905212,0.7283653616905212
0.1006856823525983,0.9669012427330017,0.9669012427330017,0.9669012427330017,0.790481482560818,0.7115384340286255,0.7115384340286255,0.7115384340286255
0.08660733092606362,0.9721136093139648,0.9721136093139648,0.9721136093139648,0.9531767717920817,0.71875,0.71875,0.71875
0.07926801594247537,0.9757623076438904,0.9757623076438904,0.9757623076438904,1.0132062853528903,0.7403846383094788,0.7403846383094788,0.7403846383094788
0.07123038493114305,0.9775866270065308,0.9775866270065308,0.9775866270065308,1.067605329534182,0.7331730723381042,0.7331730723381042,0.7331730723381042
0.06835729929193532,0.9775866270065308,0.9775866270065308,0.9775866270065308,0.970425430398721,0.7427884340286255,0.7427884340286255,0.7427884340286255
0.05964088779363217,0.9825384616851807,0.9825384616851807,0.9825384616851807,1.003534915068975,0.7427884340286255,0.7427884340286255,0.7427884340286255
0.056289360094169856,0.9848840236663818,0.9848840236663818,0.9848840236663818,1.197920446212475,0.7283653616905212,0.7283653616905212,0.7283653616905212
0.050002078988106574,0.9874902367591858,0.9874902367591858,0.9874902367591858,1.0669592762222657,0.7427884340286255,0.7427884340286255,0.7427884340286255
0.04659956798893355,0.9890539646148682,0.9890539646148682,0.9890539646148682,1.0227050136488218,0.7331730723381042,0.7331730723381042,0.7331730723381042
0.04385533897026088,0.9903570413589478,0.9903570413589478,0.9903570413589478,1.1485347150323482,0.7307692170143127,0.7307692170143127,0.7307692170143127
0.0410674441395124,0.989835798740387,0.989835798740387,0.989835798740387,1.2867241315543652,0.723557710647583,0.723557710647583,0.723557710647583
0.03891773176264694,0.9900964498519897,0.9900964498519897,0.9900964498519897,1.1138202952077756,0.7307692170143127,0.7307692170143127,0.7307692170143127
0.037037496099426685,0.9919207692146301,0.9919207692146301,0.9919207692146301,1.048271325058662,0.7403846383094788,0.7403846383094788,0.7403846383094788
0.034117115681405054,0.9924420118331909,0.9924420118331909,0.9924420118331909,1.2001190434854765,0.7307692170143127,0.7307692170143127,0.7307692170143127
0.03245734971172958,0.9942663311958313,0.9942663311958313,0.9942663311958313,1.2023662185439696,0.7355769276618958,0.7355769276618958,0.7355769276618958
0.028476671702870486,0.9958300590515137,0.9958300590515137,0.9958300590515137,1.2216998645319388,0.7331730723381042,0.7331730723381042,0.7331730723381042
